model,benchmark,size,modality,domain,task
DINOv2,ImageNet-1K,1_281_167,vision,general,classification
DINOv2,ImageNet-Adversarial,1_281_167,vision,general,classification
DINOv2,ADE-20K,20_000,vision,general,semantic_segmentation
DINOv2,iNat2018,579_184,vision,ecology,classification
DINOv2,iNat2021,2_700_000,vision,ecology,classification
DINOv2,Places205,2_500_000,vision,general,classification
DINOv2,Kinetics400,245_495,vision,general,classification
DINOv2,UCF101,9_537,vision,general,classification
DINOv2,SomethingSomethingV2,168_913,vision,general,classification
DINOv2,Cityscapes,2_975,vision,general,semantic_segmentation
DINOv2,Pascal VOC 2012,5_717,vision,general,object_detection
DINOv2,Food-101,75_750,vision,general,classification
DINOv2,CIFAR-10,50_000,vision,general,classification
DINOv2,CIFAR-100,50_000,vision,general,classification
DINOv2,SUN397,19_850,vision,general,classification
DINOv2,Stanford Cars,8_144,vision,general,classification
DINOv2,FGCV Aircraft,6_667,vision,general,classification
DINOv2,Pascal VOC 2007,5_011,vision,general,object_detection
DINOv2,Textures,3_760,vision,general,classification
DINOv2,Oxford-IIIT Pets,3_680,vision,general,classification
DINOv2,Caltech-101,3_060,vision,general,classification
DINOv2,Oxford Flowers 102,2_040,vision,general,classification
DINOv2,KITTI,6_770,vision,general,depth_estimation
SigLIP,ImageNet-1K,0,vision,general,classification
SigLIP,ImageNet-1K,10_000,vision,general,classification
SigLIP2,ImageNet-1K,0,vision,general,classification
SigLIP2,ImageNet-1K,10_000,vision,general,classification
SigLIP2,AI2 Diagram,12_413,multimodal,general,visual_question_answering
SigLIP2,AOKVQA-DA,18_201,multimodal,general,visual_question_answering
SigLIP2,AOKVQA-MC,18_201,multimodal,general,visual_question_answering
SigLIP2,COCO-35L (avg34),113_287,multimodal,general,image_captioning
SigLIP2,COCO-35L (en),113_287,multimodal,general,image_captioning
SigLIP2,COCOCap,113_287,multimodal,general,image_captioning
SigLIP2,CountBenchQA,0,multimodal,general,counting
SigLIP2,DocVQA,44_812,multimodal,general,visual_question_answering
SigLIP2,GQA,1_075_062,multimodal,general,visual_question_answering
SigLIP2,InfoVQA,26_747,multimodal,general,visual_question_answering
SigLIP2,NLVR2,93_355,multimodal,general,visual_question_answering
SigLIP2,NoCaps,0,multimodal,general,image_captioning
SigLIP2,OCR-VQA,901_717,multimodal,general,visual_question_answering
SigLIP2,OKVQA,9_009,multimodal,general,visual_question_answering
SigLIP2,ST-VQA,26_074,multimodal,general,visual_question_answering
SigLIP2,SciCap,120_188,multimodal,science,image_captioning
SigLIP2,ScienceQA,8_315,multimodal,science,visual_question_answering
SigLIP2,Screen2Words,18_107,multimodal,UI,image_captioning
SigLIP2,TallyQA (complex),249_318,multimodal,general,counting
SigLIP2,TallyQA (simple),249_318,multimodal,general,counting
SigLIP2,TextCaps,21_953,multimodal,general,image_captioning
SigLIP2,TextVQA,34_602,multimodal,general,visual_question_answering
SigLIP2,VQAv2,658_111,multimodal,general,visual_question_answering
SigLIP2,VizWizVQA,24_842,multimodal,general,visual_question_answering
SigLIP2,WidgetCap,44_704,multimodal,UI,image_captioning
SigLIP2,XM3600 (avg35),0,multimodal,general,image_captioning
SigLIP2,XM3600 (en),0,multimodal,general,image_captioning
CLIP,aYahoo,0,multimodal,general,object_detection
CLIP,SUN397,0,vision,general,classification
CLIP,Food-101,75_750,vision,general,classification
CLIP,CIFAR-10,50_000,vision,general,classification
CLIP,CIFAR-100,50_000,vision,general,classification
CLIP,Birdsnap,42_283,vision,ecology,classification
CLIP,SUN397,19_850,vision,general,classification
CLIP,Stanford Cars,8_144,vision,general,classification
CLIP,FGCV Aircraft,6_667,vision,general,classification
CLIP,Pascal VOC 2007,5_011,vision,general,object_detection
CLIP,Textures,3_760,vision,general,classification
CLIP,Oxford-IIIT Pets,3_680,vision,general,classification
CLIP,Caltech-101,3_060,vision,general,classification
CLIP,Oxford Flowers 102,2_040,vision,general,classification
CLIP,MNIST,60_000,vision,general,classification
